Fri Dec 20 08:47:36 2019
JOBID PARTITION NAME USER STATE TIME TIME_LIMI NODES NODELIST(REASON)
12819953 fast e0452 scanya PENDING 0:00 1:00:00 1 (Resources)
12819954 fast e0453 scanya PENDING 0:00 1:00:00 1 (Resources)
12819955 fast e0454 scanya PENDING 0:00 1:00:00 1 (Resources)
12819956 fast e0455 scanya PENDING 0:00 1:00:00 1 (Resources)
12819958 fast e0457 scanya PENDING 0:00 1:00:00 1 (Resources)
12819960 fast e0459 scanya PENDING 0:00 1:00:00 1 (Resources)
12819961 fast e0460 scanya PENDING 0:00 1:00:00 1 (Resources)
12819962 fast e0461 scanya PENDING 0:00 1:00:00 1 (Resources)
12819963 fast e0462 scanya PENDING 0:00 1:00:00 1 (Resources)
12819964 fast e0463 scanya PENDING 0:00 1:00:00 1 (Resources)
12819965 fast e0464 scanya PENDING 0:00 1:00:00 1 (Resources)
12819967 fast e0466 scanya PENDING 0:00 1:00:00 1 (Resources)
12819968 fast e0467 scanya PENDING 0:00 1:00:00 1 (Resources)
12819969 fast e0468 scanya PENDING 0:00 1:00:00 1 (Resources)
12819970 fast e0469 scanya PENDING 0:00 1:00:00 1 (Resources)
12819971 fast e0471 scanya PENDING 0:00 1:00:00 1 (Resources)
12819972 fast e0472 scanya PENDING 0:00 1:00:00 1 (Resources)
12819979 fast e0481 scanya PENDING 0:00 1:00:00 1 (Resources)
12823312 fast e0487 scanya PENDING 0:00 1:00:00 1 (Resources)
12823323 fast e0497 scanya PENDING 0:00 1:00:00 1 (Resources)
12823332 fast e0506 scanya PENDING 0:00 1:00:00 1 (Resources)
12823339 fast e0513 scanya PENDING 0:00 1:00:00 1 (Resources)
12823341 fast e0515 scanya PENDING 0:00 1:00:00 1 (Resources)
12823343 fast e0517 scanya PENDING 0:00 1:00:00 1 (Resources)
12823347 fast e0521 scanya PENDING 0:00 1:00:00 1 (Resources)
12823348 fast e0522 scanya PENDING 0:00 1:00:00 1 (Resources)
12823349 fast e0523 scanya PENDING 0:00 1:00:00 1 (Resources)
12823350 fast e0524 scanya PENDING 0:00 1:00:00 1 (Resources)
12823351 fast e0525 scanya PENDING 0:00 1:00:00 1 (Resources)
12823352 fast e0526 scanya PENDING 0:00 1:00:00 1 (Resources)
12823353 fast e0527 scanya PENDING 0:00 1:00:00 1 (Resources)
12823354 fast e0528 scanya PENDING 0:00 1:00:00 1 (Resources)
12823355 fast e0529 scanya PENDING 0:00 1:00:00 1 (Resources)
12823356 fast e0530 scanya PENDING 0:00 1:00:00 1 (Resources)
12823357 fast e0531 scanya PENDING 0:00 1:00:00 1 (Resources)
12823358 fast e0532 scanya PENDING 0:00 1:00:00 1 (Resources)
12823359 fast e0533 scanya PENDING 0:00 1:00:00 1 (Resources)
12823360 fast e0534 scanya PENDING 0:00 1:00:00 1 (Resources)
12823361 fast e0535 scanya PENDING 0:00 1:00:00 1 (Resources)
12823362 fast e0536 scanya PENDING 0:00 1:00:00 1 (Resources)
12823364 fast e0538 scanya PENDING 0:00 1:00:00 1 (Resources)
12823365 fast e0539 scanya PENDING 0:00 1:00:00 1 (Resources)
12823369 fast e0543 scanya PENDING 0:00 1:00:00 1 (Resources)
12823370 fast e0544 scanya PENDING 0:00 1:00:00 1 (Resources)
12823371 fast e0545 scanya PENDING 0:00 1:00:00 1 (Resources)
12823372 fast e0546 scanya PENDING 0:00 1:00:00 1 (Resources)
12823373 fast e0547 scanya PENDING 0:00 1:00:00 1 (Resources)
12823378 fast e0552 scanya PENDING 0:00 1:00:00 1 (Resources)
12823379 fast e0553 scanya PENDING 0:00 1:00:00 1 (Resources)
12823386 fast e0560 scanya PENDING 0:00 1:00:00 1 (Resources)
12823388 fast e0562 scanya PENDING 0:00 1:00:00 1 (Resources)
12823391 fast e0565 scanya PENDING 0:00 1:00:00 1 (Resources)
12823395 fast e0569 scanya PENDING 0:00 1:00:00 1 (Resources)
12823396 fast e0570 scanya PENDING 0:00 1:00:00 1 (Resources)
12823397 fast e0571 scanya PENDING 0:00 1:00:00 1 (Resources)
12823398 fast e0572 scanya PENDING 0:00 1:00:00 1 (Resources)
12823399 fast e0573 scanya PENDING 0:00 1:00:00 1 (Resources)
12823400 fast e0574 scanya PENDING 0:00 1:00:00 1 (Resources)
12823401 fast e0575 scanya PENDING 0:00 1:00:00 1 (Resources)
12823402 fast e0576 scanya PENDING 0:00 1:00:00 1 (Resources)
12823403 fast e0577 scanya PENDING 0:00 1:00:00 1 (Resources)
12823404 fast e0578 scanya PENDING 0:00 1:00:00 1 (Resources)
12823405 fast e0579 scanya PENDING 0:00 1:00:00 1 (Resources)
12823406 fast e0580 scanya PENDING 0:00 1:00:00 1 (Resources)
12823407 fast e0581 scanya PENDING 0:00 1:00:00 1 (Resources)
12823408 fast e0582 scanya PENDING 0:00 1:00:00 1 (Resources)
12823409 fast e0583 scanya PENDING 0:00 1:00:00 1 (Resources)
12823410 fast e0584 scanya PENDING 0:00 1:00:00 1 (Resources)
12823411 fast e0585 scanya PENDING 0:00 1:00:00 1 (Resources)
12823412 fast e0586 scanya PENDING 0:00 1:00:00 1 (Resources)
12823413 fast e0587 scanya PENDING 0:00 1:00:00 1 (Resources)
12823414 fast e0588 scanya PENDING 0:00 1:00:00 1 (Resources)
12823415 fast e0589 scanya PENDING 0:00 1:00:00 1 (Resources)
12823416 fast e0590 scanya PENDING 0:00 1:00:00 1 (Resources)
12823417 fast e0591 scanya PENDING 0:00 1:00:00 1 (Resources)
12823418 fast e0592 scanya PENDING 0:00 1:00:00 1 (Resources)
12823419 fast e0593 scanya PENDING 0:00 1:00:00 1 (Resources)
12823420 fast e0594 scanya PENDING 0:00 1:00:00 1 (Resources)
12823421 fast e0595 scanya PENDING 0:00 1:00:00 1 (Resources)
12823422 fast e0596 scanya PENDING 0:00 1:00:00 1 (Resources)
12823423 fast e0597 scanya PENDING 0:00 1:00:00 1 (Resources)
12823424 fast e0598 scanya PENDING 0:00 1:00:00 1 (Resources)
12823425 fast e0599 scanya PENDING 0:00 1:00:00 1 (Resources)
12647541 fast tpr3rk yaqoob PENDING 0:00 10:30:00 16 (PartitionTimeLimit)
12647543 fast tpr3rk yaqoob PENDING 0:00 10:30:00 4 (PartitionTimeLimit)
12823858 atlasmcor cream_11 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823859 atlasmcor cream_24 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823860 atlasmcor cream_86 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823865 atlasmcor cream_44 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823866 atlasmcor cream_54 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823867 atlasmcor cream_73 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823868 atlasmcor cream_75 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823869 atlasmcor cream_21 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823870 atlasmcor cream_30 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823871 atlasmcor cream_59 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823872 atlasmcor cream_90 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823873 atlasmcor cream_90 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823874 atlasmcor cream_75 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823875 atlasmcor cream_18 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823876 atlasmcor cream_91 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823877 atlasmcor cream_93 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823878 atlasmcor cream_14 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823879 atlasmcor cream_70 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823882 atlasmcor cream_34 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823883 atlasmcor cream_92 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823884 atlasmcor cream_50 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823885 atlasmcor cream_48 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823886 atlasmcor cream_28 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823887 atlasmcor cream_07 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823888 atlasmcor cream_33 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823889 atlasmcor cream_56 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823890 atlasmcor cream_62 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823891 atlasmcor cream_44 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823892 atlasmcor cream_09 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823893 atlasmcor cream_78 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823894 atlasmcor cream_99 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823895 atlasmcor cream_65 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823896 atlasmcor cream_28 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823897 atlasmcor cream_62 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823898 atlasmcor cream_64 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823899 atlasmcor cream_20 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823900 atlasmcor cream_51 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823901 atlasmcor cream_78 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823902 atlasmcor cream_16 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823903 atlasmcor cream_48 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823904 atlasmcor cream_31 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823905 atlasmcor cream_11 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823906 atlasmcor cream_80 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823907 atlasmcor cream_11 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823908 atlasmcor cream_91 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823909 atlasmcor cream_32 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823910 atlasmcor cream_90 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823911 atlasmcor cream_89 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12823912 atlasmcor cream_70 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12833612 atlasmcor cream_88 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12833613 atlasmcor cream_20 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12833638 atlasmcor cream_32 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12833639 atlasmcor cream_47 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12833640 atlasmcor cream_44 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12839169 atlasmcor cream_59 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12847762 atlasmcor cream_37 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12847763 atlasmcor cream_44 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849483 atlas cream_57 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849484 atlas cream_65 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849485 atlas cream_07 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849486 atlas cream_84 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849487 atlas cream_62 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849488 atlas cream_51 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849489 atlas cream_14 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849490 atlas cream_79 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849507 atlas cream_10 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849508 atlas cream_37 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849509 atlas cream_55 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849510 atlas cream_30 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849511 atlas cream_43 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
